id;article_code;article_desc;catg_code_id
1;IDE04;INDIGO DYED..DENIM..Count=1/10NE OPEN END+1/12NEx1/10NE..Const=75x49..COTTON=98.5% SPANDEX=1.5%..339GSM..(Spl.Finish:NORMAL FINISH);1
2;PGG02;PRINTED..GEORGETTE..Count=1/80DENIERx1/80DENIER..Const=76x66..POLYESTER=100%..(Spl.Finish:NORMAL FINISH);1
3;YCK23;YARN DYED..CHECKS..Count=1/40NE COMPACTx1/40NE COMPACT..Const=100x72..COTTON=100%..(Spl.Finish:NORMAL FINISH);1
4;SHE00;SOLID..HERRINGBONE..Count=1/40NEx1/40NE..Const=160x102..COTTON=100%..(Spl.Finish:NORMAL FINISH);1
5;PVO05;PRINTED..VOILE..Count=1/80NEx1/80NE..Const=92x68..COTTON=100%;1
6;SLK04;SOLID..LINNING KNIT..Count=0/0NEx0/0NE..Const=0x0..COTTON=100%..540GSM..(Spl.Finish:NORMAL FINISH);1
7;SCA01;SOLID..CAMBRIC..Count=1/40NEx1/40NE..Const=80x70..COTTON=100%..(Spl.Finish:SCHIFFLY);1
8;STW07;SOLID..TWILL..Count=1/40NEx1/40NE..Const=132x80..COTTON=100%;1
9;PTD00;PRINTED..TWILL 2X1..Count=1/30NEx1/30NE..Const=136x70..COTTON=100%;1
10;GDC00;GREIGE..DOUBLE CLOTH..Count=1/60NEx1/60NE..Const=76x132..COTTON=100%;1
11;PPL20;PRINTED..PLAIN..Count=1/32NEx1/17NE..Const=56x52..COTTON=40% LINEN=60%;1
12;GVO07;GREIGE..VOILE..Count=1/80NEx1/80NE..Const=80x68..COTTON=100%;1
13;SCO02;SOLID..CORDUROY..Count=1/40NEx1/40NE..Const=77x177..COTTON=100%;1
14;GRA00;GREIGE..RASCHEL..NYLON=100%..40GSM..(Spl.Finish:HEAT SET);1
15;YGU00;YARN DYED..GAUZE..Count=1/60NE COMBEDx1/60NE HIGH TWIST..Const=84x64..COTTON=100%..(Spl.Finish:NORMAL FINISH);1
16;YDO01;YARN DYED..DOBBY..Count=2/60NE COMBEDx1/40NE COMPACT..Const=72x64..COTTON=100%..(Spl.Finish:NORMAL FINISH);1
17;SCQ01;SOLID..CREPE-AMERICAN..Count=1/80DENIERx1/50DENIER..Const=132x94..POLYESTER=100%..80GSM;1
18;YCK09;YARN DYED..CHECKS..Count=1/60NE COMPACTx1/60NE COMPACT+1/40DENIER..Const=110x68..COTTON=98% LUREX=1% SPANDEX=1%..(Spl.Finish:HEAT SET);1
19;YCK12;YARN DYED..CHECKS..Count=1/60NE COMPACTx1/60NE COMPACT..Const=92x76..COTTON=100%..(Spl.Finish:NORMAL FINISH);1
20;SGG02;SOLID..GEORGETTE..Count=1/50DENIERx1/50DENIER..Const=260x104..POLYESTER=100%..89GSM;1
21;SSH01;SOLID..SHEETING..Count=1/20NEx1/20NE..Const=68x60..COTTON=100%..(Spl.Finish:NORMAL FINISH);1
22;STW01;SOLID..TWILL..Count=1/20NEx1/16NE..Const=136x66..COTTON=98% SPANDEX=2%..(Spl.Finish:PEACH);1
